Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
self_mm,"(83.33, 1.07)","(83.57, 0.92)","(85.34, 0.25)","(85.21, 0.27)","(55.64, 0.54)","(53.96, 0.57)","(52.97, 0.59)","(76.46, 0.49)","(52.99, 0.61)"
self_mm,"(81.82, 2.67)","(82.23, 2.33)","(84.86, 0.56)","(84.8, 0.44)","(55.59, 0.54)","(53.92, 0.61)","(52.97, 0.22)","(76.88, 0.24)","(58.26, 0.23)"
self_mm,"(81.81, 1.36)","(82.28, 1.19)","(85.15, 0.27)","(85.13, 0.21)","(55.56, 0.48)","(53.9, 0.43)","(53.09, 0.46)","(76.99, 0.41)","(58.42, 0.52)"
self_mm,"(81.81, 1.36)","(82.28, 1.19)","(85.15, 0.27)","(85.13, 0.21)","(55.56, 0.48)","(53.9, 0.43)","(53.09, 0.46)","(76.99, 0.41)","(53.11, 0.47)"
self_mm,"(81.82, 2.67)","(82.23, 2.33)","(84.86, 0.56)","(84.8, 0.44)","(55.59, 0.54)","(53.92, 0.61)","(52.97, 0.22)","(76.88, 0.24)","(52.97, 0.21)"
self_mm,"(82.03, 2.25)","(82.47, 2.0)","(85.17, 0.83)","(85.14, 0.76)","(55.41, 0.37)","(53.65, 0.36)","(52.72, 0.42)","(77.05, 0.42)","(52.71, 0.43)"
self_mm,"(82.03, 2.25)","(82.47, 2.0)","(85.17, 0.83)","(85.14, 0.76)","(55.41, 0.37)","(53.65, 0.36)","(52.72, 0.42)","(77.05, 0.42)","(52.71, 0.43)"
self_mm,"(71.02, 0.0)","(58.99, 0.0)","(62.85, 0.0)","(48.51, 0.0)","(42.18, 0.33)","(42.18, 0.33)","(83.97, 1.66)","(nan, nan)","(83.97, 1.67)"
self_mm,"(71.02, 16.82)","(58.99, 18.39)","(62.85, 10.28)","(48.51, 11.36)","(42.18, 0.33)","(42.18, 0.33)","(83.97, 1.67)","(nan, nan)","(83.99, 1.68)"
self_mm,"(82.81, 1.55)","(82.98, 1.33)","(85.17, 0.31)","(84.94, 0.23)","(55.42, 0.56)","(53.68, 0.52)","(55.27, 0.5)","(76.09, 0.55)","(55.27, 0.5)"
self_mm,"(84.37, 1.43)","(84.39, 1.22)","(85.8, 0.36)","(85.64, 0.29)","(55.78, 0.28)","(54.0, 0.27)","(54.03, 0.36)","(77.24, 0.38)","(54.04, 0.36)"
