batch_size,learning_rate_bert,learning_rate_audio,learning_rate_video,learning_rate_other,weight_decay_bert,weight_decay_other,weight_decay_audio,weight_decay_video,text_out,audio_out,video_out,t_bert_dropout,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,post_fusion_dropout,post_text_dropout,post_audio_dropout,post_video_dropout,H,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
16.0,5e-05,0.001,0.001,0.0001,0.01,0.01,0.001,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.1,0.0,3.0,80.55,81.14,84.78,84.79,54.67,52.74,55.31,75.63,55.47
16.0,5e-05,0.005,0.0001,0.001,0.001,0.001,0.01,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.0,0.0,3.0,81.5,81.85,84.95,84.8,55.03,53.29,54.37,75.8,54.29
16.0,5e-05,0.001,0.001,0.001,0.001,0.01,0.001,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.1,0.0,3.0,83.15,83.39,85.58,85.43,54.73,52.99,53.3,76.22,53.28
16.0,5e-05,0.0001,0.001,0.0001,0.01,0.001,0.001,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.0,0.0,3.0,81.03,81.54,85.03,85.0,53.92,52.5,54.8,75.23,54.75
32.0,5e-05,0.001,0.0001,0.001,0.001,0.01,0.01,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.1,0.1,3.0,79.09,79.87,84.81,84.89,56.45,54.48,52.8,77.36,52.79
16.0,5e-05,0.001,0.0001,0.0001,0.001,0.01,0.01,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.1,0.1,3.0,81.43,81.81,84.87,84.74,55.57,54.11,52.84,77.34,52.76
32.0,5e-05,0.005,0.0001,0.0001,0.01,0.01,0.01,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.0,0.1,3.0,78.51,79.12,82.75,82.69,50.8,49.58,58.02,71.61,58.03
16.0,5e-05,0.0001,0.005,0.001,0.001,0.01,0.0,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.1,0.0,3.0,82.68,82.97,85.44,85.32,55.05,53.83,54.1,77.05,54.14
32.0,5e-05,0.005,0.005,0.0001,0.01,0.001,0.0,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.1,0.1,0.0,3.0,81.56,81.32,81.73,81.13,53.4,51.9,57.82,71.99,57.85
32.0,5e-05,0.0001,0.0001,0.001,0.01,0.001,0.0,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.1,0.0,3.0,82.46,82.64,84.78,84.55,52.33,51.32,57.45,73.23,57.4
16.0,5e-05,0.001,0.0001,0.0001,0.001,0.01,0.0,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.0,0.0,0.1,3.0,83.45,83.33,84.34,83.92,53.66,52.48,56.15,74.4,56.11
16.0,5e-05,0.0001,0.0001,0.0001,0.01,0.001,0.001,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.1,0.0,3.0,82.98,83.28,85.64,85.53,56.71,55.1,52.76,76.64,52.81
16.0,5e-05,0.005,0.001,0.001,0.01,0.001,0.01,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.1,3.0,78.84,79.53,83.46,83.49,55.14,53.83,54.89,74.33,54.87
16.0,5e-05,0.001,0.001,0.001,0.001,0.001,0.001,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.1,0.0,3.0,83.82,84.06,86.27,86.15,55.23,53.96,53.55,76.85,53.57
32.0,5e-05,0.005,0.001,0.0001,0.001,0.001,0.001,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.1,0.1,3.0,79.89,80.51,84.45,84.45,54.88,53.23,53.9,76.31,53.89
32.0,5e-05,0.005,0.001,0.001,0.01,0.01,0.01,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.0,0.1,3.0,81.0,81.39,83.32,83.24,52.2,51.11,58.0,71.81,58.03
32.0,5e-05,0.001,0.0001,0.001,0.001,0.01,0.001,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.0,0.1,3.0,84.1,84.29,86.1,85.97,55.53,53.98,52.6,77.34,52.61
32.0,5e-05,0.001,0.0001,0.001,0.001,0.001,0.0,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.1,0.1,3.0,81.8,82.17,84.89,84.79,55.31,53.57,53.82,76.35,53.84
16.0,5e-05,0.005,0.001,0.001,0.001,0.01,0.0,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.0,0.1,3.0,78.82,79.6,84.59,84.67,55.27,53.75,52.91,77.46,52.8
32.0,5e-05,0.001,0.0001,0.0001,0.001,0.01,0.001,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.1,0.1,3.0,78.73,79.43,84.65,84.62,56.02,54.32,53.58,75.57,53.59
16.0,5e-05,0.0001,0.005,0.001,0.01,0.01,0.01,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.0,0.0,3.0,82.38,82.68,85.28,85.14,55.72,54.07,52.86,76.54,52.99
32.0,5e-05,0.001,0.005,0.001,0.01,0.001,0.0,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.0,0.1,3.0,79.48,79.72,82.25,81.92,54.07,52.54,56.87,71.93,56.8
16.0,5e-05,0.005,0.001,0.0001,0.01,0.01,0.01,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.1,3.0,72.55,73.75,79.2,79.42,52.33,51.04,60.47,68.05,60.41
32.0,5e-05,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.0,0.0,3.0,82.12,82.56,86.08,86.02,54.99,53.19,54.01,76.18,53.99
