batch_size,learning_rate_bert,learning_rate_audio,learning_rate_video,learning_rate_other,weight_decay_bert,weight_decay_other,weight_decay_audio,weight_decay_video,text_out,audio_out,video_out,t_bert_dropout,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,post_fusion_dropout,post_text_dropout,post_audio_dropout,post_video_dropout,H,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
32.0,5e-05,0.001,0.005,0.001,0.01,0.01,0.001,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.0,0.0,3.0,79.59,79.58,81.55,81.61,50.29,43.29,77.38,76.44,76.86
32.0,5e-05,0.005,0.0001,0.0001,0.001,0.001,0.0,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.1,0.0,0.1,3.0,81.78,81.8,83.38,83.46,51.46,44.61,73.49,78.87,73.18
16.0,5e-05,0.005,0.0001,0.0001,0.01,0.001,0.0,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.1,0.0,0.0,3.0,80.17,80.21,81.4,81.49,47.38,40.67,77.99,77.24,77.94
32.0,5e-05,0.0001,0.0001,0.0001,0.01,0.01,0.001,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.1,0.0,3.0,81.78,81.81,82.77,82.85,46.5,40.67,76.95,79.24,77.44
32.0,5e-05,0.001,0.005,0.001,0.01,0.001,0.01,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.0,0.0,3.0,82.65,82.65,83.99,84.04,51.46,45.34,73.58,77.8,73.52
32.0,5e-05,0.005,0.005,0.0001,0.01,0.01,0.01,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.1,0.0,3.0,80.9,80.89,82.93,82.98,50.44,44.46,77.55,78.02,77.77
16.0,5e-05,0.0001,0.005,0.0001,0.001,0.001,0.0,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.0,0.1,3.0,79.59,79.64,80.64,80.75,50.87,44.17,77.0,76.14,76.97
32.0,5e-05,0.001,0.0001,0.0001,0.01,0.001,0.01,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.0,0.1,3.0,79.88,79.91,81.55,81.65,52.48,45.48,75.77,77.39,75.03
32.0,5e-05,0.001,0.005,0.001,0.01,0.01,0.001,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.1,0.0,3.0,82.07,82.07,83.23,83.28,49.13,42.57,76.19,77.99,76.16
16.0,5e-05,0.005,0.001,0.0001,0.01,0.01,0.0,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.0,0.1,3.0,80.47,80.51,81.86,81.96,49.42,41.98,80.25,74.36,80.25
