batch_size,learning_rate_bert,learning_rate_audio,learning_rate_video,learning_rate_other,weight_decay_bert,weight_decay_other,weight_decay_audio,weight_decay_video,text_out,audio_out,video_out,t_bert_dropout,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,post_fusion_dropout,post_text_dropout,post_audio_dropout,post_video_dropout,H,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss
32.0,5e-05,0.0001,0.001,0.001,0.001,0.001,0.001,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.1,0.0,3.0,76.37,64.11,40.48,76.5,45.17,54.68,44.38
16.0,5e-05,0.0001,0.005,0.0001,0.01,0.001,0.001,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.1,0.0,3.0,78.99,66.52,39.17,79.35,44.37,55.85,44.31
16.0,5e-05,0.001,0.001,0.001,0.001,0.01,0.01,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.0,0.1,0.1,3.0,77.68,64.11,43.11,77.64,43.07,55.16,42.84
32.0,5e-05,0.005,0.0001,0.001,0.01,0.001,0.001,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.1,0.0,3.0,76.37,63.68,39.82,76.84,41.41,60.27,41.23
16.0,5e-05,0.0001,0.005,0.001,0.001,0.001,0.001,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.0,0.0,3.0,77.24,59.08,39.82,76.72,45.16,53.03,45.71
16.0,5e-05,0.0001,0.001,0.0001,0.01,0.001,0.0,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.1,0.0,3.0,78.34,64.55,42.89,78.27,41.85,56.69,41.94
32.0,5e-05,0.0001,0.005,0.0001,0.001,0.001,0.0,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.0,0.0,3.0,78.77,66.74,43.76,78.71,40.81,60.5,42.17
32.0,5e-05,0.005,0.0001,0.0001,0.001,0.01,0.001,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.1,0.1,3.0,78.12,64.55,41.79,78.32,42.5,58.74,43.39
32.0,5e-05,0.001,0.005,0.001,0.001,0.01,0.0,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.1,0.0,3.0,78.12,65.86,46.17,77.88,41.32,58.69,41.25
32.0,5e-05,0.0001,0.001,0.001,0.01,0.01,0.01,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.1,0.1,3.0,76.15,64.55,41.36,75.75,45.35,55.39,45.63
