batch_size,learning_rate_bert,learning_rate_audio,learning_rate_video,learning_rate_other,weight_decay_bert,weight_decay_other,weight_decay_audio,weight_decay_video,text_out,audio_out,video_out,t_bert_dropout,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,post_fusion_dropout,post_text_dropout,post_audio_dropout,post_video_dropout,H,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
16.0,5e-05,0.0001,0.001,0.0001,0.001,0.001,0.001,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.0,0.0,3.0,82.14,82.63,85.5,85.51,55.63,54.05,53.06,76.61,53.05
32.0,5e-05,0.005,0.005,0.001,0.001,0.001,0.001,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.1,0.1,3.0,83.6,83.85,85.88,85.77,55.4,53.72,53.16,76.84,53.14
32.0,5e-05,0.005,0.0001,0.001,0.001,0.01,0.01,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.0,0.0,3.0,80.04,80.72,84.87,84.92,54.9,53.29,53.15,77.27,53.14
16.0,5e-05,0.005,0.0001,0.001,0.001,0.001,0.01,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.0,0.1,3.0,80.75,81.35,85.2,85.22,55.96,54.37,52.62,77.21,52.66
32.0,5e-05,0.005,0.005,0.001,0.01,0.001,0.01,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.1,0.0,3.0,76.02,76.92,81.98,82.02,54.5,53.12,55.57,74.29,55.57
32.0,5e-05,0.005,0.005,0.0001,0.01,0.01,0.01,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.0,0.0,0.1,3.0,80.3,80.83,84.53,84.48,54.73,53.38,54.58,75.32,54.62
16.0,5e-05,0.001,0.005,0.0001,0.001,0.01,0.001,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.0,0.1,0.0,3.0,83.69,83.6,84.98,84.58,55.98,54.35,53.38,76.04,53.32
16.0,5e-05,0.005,0.0001,0.0001,0.01,0.001,0.0,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.1,0.0,3.0,83.3,83.43,85.58,85.34,55.63,53.94,53.42,76.91,53.48
16.0,5e-05,0.005,0.0001,0.0001,0.001,0.001,0.01,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.1,0.1,3.0,82.79,83.19,85.88,85.85,55.42,53.7,52.83,77.64,52.77
16.0,5e-05,0.0001,0.0001,0.001,0.01,0.001,0.001,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.1,0.1,3.0,81.03,81.3,83.49,83.29,49.04,48.94,59.5,71.74,59.52
16.0,5e-05,0.0001,0.001,0.001,0.01,0.01,0.01,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.0,0.0,3.0,83.3,83.23,83.9,83.54,54.8,53.29,54.66,74.93,54.74
