batch_size,learning_rate_bert,learning_rate_audio,learning_rate_video,learning_rate_other,weight_decay_bert,weight_decay_other,weight_decay_audio,weight_decay_video,text_out,audio_out,video_out,t_bert_dropout,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,post_fusion_dropout,post_text_dropout,post_audio_dropout,post_video_dropout,H,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss
16.0,5e-05,0.001,0.0001,0.0001,0.01,0.01,0.001,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.0,0.0,0.1,3.0,78.99,64.99,42.67,78.77,42.42,56.67,42.68
16.0,5e-05,0.005,0.001,0.0001,0.001,0.01,0.0,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.0,0.0,3.0,77.68,64.11,43.98,77.89,41.87,57.94,42.37
16.0,5e-05,0.0001,0.005,0.001,0.01,0.001,0.01,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.1,3.0,78.99,63.46,41.14,78.95,43.14,55.72,44.05
16.0,5e-05,0.001,0.005,0.001,0.01,0.001,0.01,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.1,0.0,0.1,3.0,75.71,62.8,37.86,75.74,44.34,56.72,44.14
16.0,5e-05,0.0001,0.005,0.0001,0.001,0.01,0.01,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.1,3.0,76.37,65.43,44.42,76.54,40.75,59.69,41.01
16.0,5e-05,0.005,0.0001,0.0001,0.001,0.001,0.01,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.0,0.0,3.0,77.24,63.24,40.26,77.41,43.68,54.9,43.6
32.0,5e-05,0.0001,0.001,0.001,0.01,0.01,0.0,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.1,0.0,0.0,3.0,77.46,63.68,41.58,76.97,43.28,56.51,44.24
16.0,5e-05,0.0001,0.0001,0.0001,0.01,0.01,0.001,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.1,0.0,3.0,78.77,63.68,42.67,77.88,44.73,53.81,45.52
16.0,5e-05,0.005,0.005,0.0001,0.001,0.01,0.001,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.0,0.1,3.0,77.46,63.02,39.61,76.91,44.22,53.53,44.22
16.0,5e-05,0.0001,0.001,0.001,0.001,0.01,0.001,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.1,0.0,3.0,77.68,62.58,39.39,76.24,44.97,55.32,45.6
32.0,5e-05,0.005,0.0001,0.0001,0.01,0.01,0.001,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.0,0.0,3.0,76.59,61.49,40.04,76.82,44.61,52.33,44.08
16.0,5e-05,0.001,0.001,0.0001,0.001,0.01,0.0,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.1,0.0,0.1,3.0,77.24,63.02,40.7,77.45,42.37,57.63,42.1
16.0,5e-05,0.001,0.0001,0.001,0.001,0.01,0.001,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.1,0.0,0.0,3.0,78.12,61.27,40.26,77.37,45.29,53.83,45.9
32.0,5e-05,0.001,0.005,0.0001,0.001,0.001,0.001,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.0,0.1,3.0,77.24,64.55,45.08,77.33,42.39,56.54,42.04
32.0,5e-05,0.005,0.001,0.001,0.001,0.001,0.01,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.0,0.1,0.1,3.0,77.46,64.99,43.98,77.39,42.92,57.5,42.97
